City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Desc,Rain/Inches,Snow
130,Clyde River,CA,2020-04-20 04:26:15,70.47,-68.59,-11.2,69,1,4.7,clear sky,0.0,0.0
131,Butaritari,KI,2020-04-20 04:26:16,3.07,172.79,83.77,70,26,7.83,light rain,1.01,0.0
132,Salalah,OM,2020-04-20 04:26:16,17.02,54.09,82.4,69,20,4.7,few clouds,0.0,0.0
133,Bengkulu,ID,2020-04-20 04:22:55,-3.8,102.27,86.95,62,60,2.71,broken clouds,0.0,0.0
134,Tanout,NE,2020-04-20 04:26:16,14.97,8.89,74.62,15,83,2.75,broken clouds,0.0,0.0
135,Vestmannaeyjar,IS,2020-04-20 04:22:28,63.44,-20.27,46.22,94,100,27.13,light rain,0.17,0.0
136,Georgetown,MY,2020-04-20 04:26:17,5.41,100.34,93.2,74,20,5.82,few clouds,0.0,0.0
137,Port Hardy,CA,2020-04-20 04:26:17,50.7,-127.42,50.0,81,75,8.05,broken clouds,0.0,0.0
138,Alihe,CN,2020-04-20 04:26:17,50.57,123.72,24.91,84,100,13.8,light snow,0.0,0.47
139,Bathsheba,BB,2020-04-20 04:26:18,13.22,-59.52,78.8,74,20,14.99,few clouds,0.0,0.0
140,Tasiilaq,GL,2020-04-20 04:26:18,65.61,-37.64,32.0,90,100,6.93,overcast clouds,0.0,0.0
141,Padang,ID,2020-04-20 04:26:18,-0.95,100.35,88.18,60,3,1.83,light rain,0.22,0.0
142,Brod,BA,2020-04-20 04:26:19,45.14,17.99,51.8,62,100,3.36,light rain,0.22,0.0
143,Dodge City,US,2020-04-20 04:24:56,37.75,-100.02,51.8,87,1,10.29,clear sky,0.0,0.0
144,Tautira,PF,2020-04-20 04:26:19,-17.73,-149.15,86.0,62,65,2.24,light rain,0.47,0.0
145,Tuktoyaktuk,CA,2020-04-20 04:26:20,69.45,-133.04,8.6,84,90,4.7,light snow,0.0,0.0
146,Airai,TL,2020-04-20 04:26:20,-8.93,125.41,72.95,43,32,3.47,scattered clouds,0.0,0.0
147,Bonfim,BR,2020-04-20 04:26:20,3.08,-59.95,82.98,60,99,5.48,light rain,0.99,0.0
148,Juxtlahuaca,MX,2020-04-20 04:26:20,17.43,-99.15,69.24,56,18,5.44,few clouds,0.0,0.0
149,Laguna,US,2020-04-20 04:26:21,38.42,-121.42,60.01,67,1,5.82,clear sky,0.0,0.0
150,Artyom,AZ,2020-04-20 04:26:21,40.47,50.33,51.8,93,75,6.93,mist,0.0,0.0
151,Tougue,GN,2020-04-20 04:26:22,11.47,-11.6,79.3,30,72,2.08,broken clouds,0.0,0.0
152,Ostrovnoy,RU,2020-04-20 04:26:22,68.05,39.51,24.48,97,46,6.55,scattered clouds,0.0,0.0
153,Sayansk,RU,2020-04-20 04:21:23,54.11,102.16,34.72,52,0,4.23,clear sky,0.0,0.0
154,Kurchum,KZ,2020-04-20 04:26:23,48.57,83.65,53.08,37,0,6.42,clear sky,0.0,0.0
155,Sangar,RU,2020-04-20 04:26:23,63.92,127.47,24.15,80,0,1.88,clear sky,0.0,0.0
156,Chicama,PE,2020-04-20 04:26:23,-7.84,-79.15,73.51,70,7,6.55,clear sky,0.0,0.0
157,Tessalit,ML,2020-04-20 04:22:19,20.2,1.01,78.04,33,0,8.21,clear sky,0.0,0.0
158,Guiratinga,BR,2020-04-20 04:26:23,-16.35,-53.76,70.38,82,61,1.86,light rain,0.52,0.0
159,Ahuimanu,US,2020-04-20 04:26:24,21.44,-157.84,82.4,54,75,5.82,broken clouds,0.0,0.0
160,Sulangan,PH,2020-04-20 04:26:24,11.14,123.72,85.23,72,96,9.55,light rain,0.38,0.0
161,Guayaramerin,BO,2020-04-20 04:26:24,-10.84,-65.36,73.56,82,81,2.19,broken clouds,0.0,0.0
162,Meulaboh,ID,2020-04-20 04:26:24,4.14,96.13,86.14,68,3,2.1,clear sky,0.0,0.0
163,Torbay,CA,2020-04-20 04:23:08,47.67,-52.73,35.6,100,90,24.16,light intensity drizzle,0.0,0.0
164,Buchanan,LR,2020-04-20 04:26:25,5.88,-10.05,78.8,94,40,2.57,scattered clouds,0.0,0.0
165,Ankang,CN,2020-04-20 04:26:25,32.68,109.02,54.0,34,100,5.99,light rain,1.54,0.0
166,Bilibino,RU,2020-04-20 04:26:25,68.05,166.44,11.16,84,14,4.5,few clouds,0.0,0.0
167,Camana,PE,2020-04-20 04:26:26,-16.62,-72.71,69.78,72,17,5.39,few clouds,0.0,0.0
168,East London,ZA,2020-04-20 04:22:29,-33.02,27.91,84.2,45,0,11.41,clear sky,0.0,0.0
169,Ornes,NO,2020-04-20 04:26:26,66.87,13.71,41.0,100,75,19.46,light intensity drizzle,0.0,0.0
170,Karratha,AU,2020-04-20 04:26:27,-20.74,116.85,87.69,51,95,9.84,overcast clouds,0.0,0.0
171,San Vicente,AR,2020-04-20 04:26:27,-26.62,-54.13,57.74,67,0,2.42,clear sky,0.0,0.0
172,Seoul,KR,2020-04-20 04:23:40,37.57,126.98,55.4,76,90,4.7,light rain,0.0,0.0
173,Yaan,NG,2020-04-20 04:26:27,7.38,8.57,78.08,73,100,7.58,overcast clouds,0.0,0.0
174,Brigantine,US,2020-04-20 04:26:28,39.41,-74.36,53.6,71,1,10.51,clear sky,0.0,0.0
175,Carnarvon,AU,2020-04-20 04:22:20,-24.87,113.63,78.8,61,53,19.46,broken clouds,0.0,0.0
176,Namibe,AO,2020-04-20 04:26:28,-15.2,12.15,74.39,73,74,1.28,light rain,1.97,0.0
177,Lashio,MM,2020-04-20 04:26:29,22.93,97.75,90.66,21,0,1.34,clear sky,0.0,0.0
178,Prescott,US,2020-04-20 04:26:29,34.54,-112.47,55.0,28,1,3.36,clear sky,0.0,0.0
