City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
122,Bilibino,RU,2020-04-16 03:19:57,68.05,166.44,16.03,82,100,2.1
123,Severo-Kurilsk,RU,2020-04-16 03:19:58,50.68,156.12,33.21,91,100,14.67
124,The Valley,AI,2020-04-16 03:19:58,18.22,-63.06,79.0,74,20,8.05
125,Tanabe,JP,2020-04-16 03:19:58,33.73,135.37,68.0,45,20,16.11
126,Sistranda,NO,2020-04-16 03:19:58,63.73,8.83,39.0,72,40,21.92
127,Cape Town,ZA,2020-04-16 03:18:11,-33.93,18.42,57.0,87,0,2.24
128,Tubli,PH,2020-04-16 03:19:59,13.93,124.15,81.77,77,96,2.82
129,Mitsamiouli,KM,2020-04-16 03:15:31,-11.38,43.28,82.98,75,100,10.31
130,Abu Dhabi,AE,2020-04-16 03:19:59,24.47,54.37,73.4,83,100,3.36
131,Pathein,MM,2020-04-16 03:20:00,16.78,94.73,90.66,40,35,8.79
132,Cherskiy,RU,2020-04-16 03:20:00,68.75,161.3,11.73,92,100,4.94
133,Waipawa,NZ,2020-04-16 03:20:00,-41.41,175.52,64.4,63,0,17.22
134,Anadyr,RU,2020-04-16 03:20:01,64.75,177.48,23.0,92,75,11.18
135,Clarence Town,AU,2020-04-16 03:20:01,-32.58,151.78,84.99,37,97,21.92
136,Tiksi,RU,2020-04-16 03:20:01,71.69,128.87,-1.03,91,100,10.45
137,Te Anau,NZ,2020-04-16 03:20:02,-45.42,167.72,52.74,53,87,8.84
138,Mariakani,KE,2020-04-16 03:20:02,-3.86,39.47,76.17,77,100,6.38
139,Cidreira,BR,2020-04-16 03:20:02,-30.18,-50.21,64.6,65,43,19.04
140,Kushima,JP,2020-04-16 03:20:03,31.46,131.23,68.0,49,20,13.87
141,Airai,TL,2020-04-16 03:20:03,-8.93,125.41,66.24,71,100,2.04
142,Nikolskoye,RU,2020-04-16 03:20:03,59.7,30.79,33.01,97,90,6.71
143,Longyearbyen,SJ,2020-04-16 03:20:03,78.22,15.64,33.8,74,40,17.22
144,Tigil,RU,2020-04-16 03:20:04,57.8,158.67,29.43,96,87,8.3
145,Bathsheba,BB,2020-04-16 03:20:04,13.22,-59.52,78.8,74,20,11.41
146,Bethel,US,2020-04-16 03:20:04,41.37,-73.41,44.6,59,75,3.36
147,Kathu,TH,2020-04-16 03:20:05,7.92,98.33,84.2,74,20,8.05
148,Azua,DO,2020-04-16 03:20:05,18.45,-70.73,57.0,1,12,2.82
149,Bengkulu,ID,2020-04-16 03:16:29,-3.8,102.27,86.88,62,71,0.27
150,Leningradskiy,RU,2020-04-16 03:20:06,69.38,178.42,20.68,95,100,2.8
151,Dingli,MT,2020-04-16 03:20:06,35.86,14.38,57.2,87,75,6.93
152,Ambilobe,MG,2020-04-16 03:20:06,-13.2,49.05,72.72,79,83,5.28
153,Baryatino,RU,2020-04-16 03:20:06,54.31,34.52,34.93,82,94,10.89
154,Dikson,RU,2020-04-16 03:20:07,73.51,80.55,10.87,88,98,4.81
155,Villa Carlos Paz,AR,2020-04-16 03:20:07,-31.42,-64.5,64.0,87,0,5.82
156,Henties Bay,NA,2020-04-16 03:20:08,-22.12,14.28,55.99,92,1,1.99
157,Chambersburg,US,2020-04-16 03:20:08,39.94,-77.66,44.6,60,1,7.81
158,Bambous Virieux,MU,2020-04-16 03:20:08,-20.34,57.76,77.0,78,40,12.75
159,Vestmannaeyjar,IS,2020-04-16 03:20:08,63.44,-20.27,39.24,74,100,7.85
160,Nanortalik,GL,2020-04-16 03:20:09,60.14,-45.24,35.37,93,100,14.61
161,Vila Franca Do Campo,PT,2020-04-16 03:20:09,37.72,-25.43,55.4,66,20,13.87
162,Kargil,IN,2020-04-16 03:20:09,34.57,76.1,32.45,20,93,2.71
163,Tuatapere,NZ,2020-04-16 03:20:10,-46.13,167.68,53.01,75,91,15.01
164,Dauriya,RU,2020-04-16 03:20:10,49.93,116.87,54.32,27,18,6.02
165,Riyadh,SA,2020-04-16 03:20:10,24.69,46.72,64.4,72,40,3.36
166,Mantua,IT,2020-04-16 03:20:10,45.17,10.78,46.99,80,0,4.7
167,Warren,US,2020-04-16 03:19:02,39.43,-84.17,37.0,80,1,6.93
168,Laguna,US,2020-04-16 03:20:11,38.42,-121.42,75.0,35,1,10.29
169,Ebolowa,CM,2020-04-16 03:20:11,2.9,11.15,70.72,82,100,2.42
170,Krasnoselkup,RU,2020-04-16 03:20:11,65.7,82.47,28.67,98,99,11.39
171,Jamestown,US,2020-04-16 03:20:12,42.1,-79.24,33.8,92,90,14.99
172,Aklavik,CA,2020-04-16 03:20:12,68.22,-135.01,41.0,56,75,6.93
173,Addis Abeba,ET,2020-04-16 03:20:13,9.03,38.75,56.3,42,100,0.74
174,Tutoia,BR,2020-04-16 03:20:13,-2.76,-42.27,78.85,82,100,4.07
